Dataset,Classifier,Accuracy,F1 Score
Wafer,FCN,0.9975665152498377,0.997554293294844
Wafer,MLP,0.9938351719662557,0.993859367617064
Wafer,CNN,0.959279688513952,0.9553361020535714
HandOutlines,FCN,0.8486486486486486,0.8400779157535914
HandOutlines,MLP,0.9108108108108108,0.9104220050444224
HandOutlines,CNN,0.8594594594594595,0.8616382160046543
Strawberry,FCN,0.972972972972973,0.9730601459035558
Strawberry,MLP,0.6945945945945946,0.6943558903061894
Strawberry,CNN,0.9594594594594594,0.9596210469461246
TwoPatterns,FCN,0.85575,0.8558391051684728
TwoPatterns,MLP,0.86325,0.863286618090254
TwoPatterns,CNN,0.9925,0.9925009026919562
DistalPhalanxOutlineCorrect,FCN,0.7572463768115942,0.7560188277200013
DistalPhalanxOutlineCorrect,MLP,0.6884057971014492,0.6436156436156436
DistalPhalanxOutlineCorrect,CNN,0.7934782608695652,0.7894248608534322
