Dataset,Accuracy,F1 Score
Wafer,0.9950000047683716,0.99493542074364
DistalPhalanxOutlineCorrect,0.8000000715255737,0.7976535967891325
TwoPatterns,0.8149999976158142,0.8153333333333334
HandOutlines,0.875,0.8733491030948156
Strawberry,0.9756097197532654,0.9756499791342996
