params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_f1_score,split1_f1_score,split2_f1_score,split3_f1_score,split4_f1_score,mean_test_score,std_test_score,mean_f1_score,std_f1_score,rank_test_score
"N=5, G=50, K=5",0.9918698668479919,0.9999999403953552,0.9837397933006287,0.9918698668479919,0.9756097197532654,0.9918411794584403,1.0,0.983739837398374,0.9918970333491707,0.9756911000475122,0.9886178374290466,0.008291080732989977,0.9886338300506994,0.008265480377126178,10.0
"N=5, G=20, K=3",0.9918698668479919,0.9999999403953552,0.9918698668479919,0.9837397933006287,0.9756097197532654,0.9918411794584403,1.0,0.9918411794584403,0.983739837398374,0.9756911000475122,0.9886178374290466,0.008291080732989977,0.9886226592725533,0.008261099198630285,10.0
"N=9, G=20, K=5",0.9918698668479919,0.9999999403953552,0.9837397933006287,0.9918698668479919,0.9756097197532654,0.9918411794584403,1.0,0.983739837398374,0.9918411794584403,0.9756911000475122,0.9886178374290466,0.008291080732989977,0.9886226592725533,0.008261099198630285,10.0
"N=5, G=20, K=5",0.9837397933006287,0.9999999403953552,0.9837397933006287,0.9918698668479919,0.9756097197532654,0.983739837398374,1.0,0.983739837398374,0.9918411794584403,0.9756911000475122,0.986991822719574,0.008291080732989977,0.9870023908605401,0.008265416244584572,14.0
"N=3, G=3, K=5",0.9918698668479919,0.9918698668479919,0.9837397933006287,0.9918698668479919,0.9756097197532654,0.9918411794584403,0.9918411794584403,0.983739837398374,0.9918411794584403,0.9758396977909172,0.986991822719574,0.006504058837890625,0.9870206147129224,0.006410771192323565,14.0
"N=7, G=20, K=3",0.9918698668479919,0.9999999403953552,0.9837397933006287,0.9918698668479919,0.9674796462059021,0.9918411794584403,1.0,0.983739837398374,0.9918970333491707,0.9676902732882751,0.986991822719574,0.011028168317059118,0.987033664698852,0.01095359752302881,14.0
"N=6, G=10, K=5",0.9837397933006287,0.9999999403953552,0.9837397933006287,0.9918698668479919,0.9756097197532654,0.983739837398374,1.0,0.983739837398374,0.9918411794584403,0.9758396977909172,0.986991822719574,0.008291080732989977,0.9870321104092211,0.008224859013175403,14.0
"N=4, G=10, K=5",0.9837397933006287,0.9999999403953552,0.9999999403953552,0.9918698668479919,0.9593495726585388,0.983739837398374,1.0,1.0,0.9918411794584403,0.9594851667458537,0.986991822719574,0.015079040083713698,0.9870132367205336,0.015027513777651224,14.0
"N=8, G=20, K=3",0.9918698668479919,0.9999999403953552,0.9837397933006287,0.9837397933006287,0.9756097197532654,0.9918411794584403,1.0,0.983739837398374,0.983739837398374,0.9756911000475122,0.986991822719574,0.008291080732989977,0.9870023908605401,0.008265416244584572,14.0
"N=8, G=50, K=5",0.9918698668479919,0.9999999403953552,0.9674796462059021,0.9999999403953552,0.9756097197532654,0.9918411794584403,1.0,0.9676902732882751,1.0,0.9756911000475122,0.986991822719574,0.013209805946258844,0.9870445105588456,0.013131518392146902,14.0
"N=4, G=20, K=5",0.9999999403953552,0.9918698668479919,0.9837397933006287,0.9918698668479919,0.9674796462059021,1.0,0.9918970333491707,0.983739837398374,0.9918411794584403,0.967243071811523,0.986991822719574,0.011028168317059118,0.9869442244035016,0.0111118609712286,14.0
"N=9, G=5, K=3",0.9837397933006287,0.9837397933006287,0.9837397933006287,0.9918698668479919,0.9918698668479919,0.983739837398374,0.983739837398374,0.983739837398374,0.9918411794584403,0.9918411794584403,0.986991822719574,0.003982906352467841,0.9869803742224004,0.003968830855782067,14.0
"N=7, G=5, K=5",0.9756097197532654,0.9918698668479919,0.9918698668479919,0.9918698668479919,0.9837397933006287,0.9755235383753208,0.9918970333491707,0.9918411794584403,0.9918970333491707,0.983739837398374,0.986991822719574,0.006504058837890625,0.9869797243860953,0.00653811388557561,14.0
"N=6, G=5, K=3",0.9918698668479919,0.9999999403953552,0.9837397933006287,0.9918698668479919,0.9674796462059021,0.9918411794584403,1.0,0.983739837398374,0.9918411794584403,0.967479674796748,0.986991822719574,0.011028168317059118,0.9869803742224006,0.011023101809124983,14.0
"N=6, G=20, K=5",0.9918698668479919,0.9918698668479919,0.9837397933006287,0.9918698668479919,0.9756097197532654,0.9918411794584403,0.9918970333491707,0.983739837398374,0.9918970333491707,0.9755235383753208,0.986991822719574,0.006504058837890625,0.9869797243860953,0.006538113885575609,14.0
"N=4, G=5, K=5",0.9918698668479919,0.9918698668479919,0.9837397933006287,0.9999999403953552,0.9593495726585388,0.9918411794584403,0.9918411794584403,0.9836215359057615,1.0,0.9588931678790471,0.9853658080101013,0.013987507419879606,0.9852394125403379,0.014154742863037383,26.0
"N=4, G=20, K=3",0.9918698668479919,0.9999999403953552,0.9837397933006287,0.9756097197532654,0.9756097197532654,0.9918411794584403,1.0,0.983739837398374,0.9755235383753208,0.9756911000475122,0.9853658080101013,0.009481213551245916,0.9853591310559293,0.009478436725936417,26.0
"N=4, G=5, K=3",0.9837397933006287,0.9918698668479919,0.9837397933006287,0.9837397933006287,0.9837397933006287,0.983739837398374,0.9918411794584403,0.983739837398374,0.983739837398374,0.983739837398374,0.9853658080101013,0.0032520294189453125,0.9853601058103874,0.0032405368240265185,26.0
"N=4, G=3, K=5",0.9756097197532654,0.9999999403953552,0.9918698668479919,0.9837397933006287,0.9756097197532654,0.9755235383753208,1.0,0.9918411794584403,0.9836215359057615,0.9755235383753208,0.9853658080101013,0.009481213551245916,0.9853019584229686,0.009516855100753785,26.0
"N=5, G=3, K=3",0.9756097197532654,0.9999999403953552,0.9837397933006287,0.9837397933006287,0.9837397933006287,0.9756911000475122,1.0,0.983739837398374,0.9836215359057615,0.9836215359057615,0.9853658080101013,0.007965812704935682,0.9853348018514818,0.00795592223726947,26.0
"N=7, G=3, K=3",0.9756097197532654,0.9999999403953552,0.9918698668479919,0.9756097197532654,0.9837397933006287,0.9756911000475122,1.0,0.9918411794584403,0.9753359007274283,0.983739837398374,0.9853658080101013,0.009481213551245916,0.9853216035263509,0.00951759460262795,26.0
"N=8, G=3, K=3",0.9918698668479919,0.9918698668479919,0.9999999403953552,0.9674796462059021,0.9756097197532654,0.9918411794584403,0.9918411794584403,1.0,0.967243071811523,0.9753359007274283,0.9853658080101013,0.011948719057403523,0.9852522662911664,0.012058097650937537,26.0
"N=8, G=3, K=5",0.9837397933006287,0.9918698668479919,0.9837397933006287,0.9837397933006287,0.9837397933006287,0.983739837398374,0.9918970333491707,0.9836215359057615,0.9836215359057615,0.9836215359057615,0.9853658080101013,0.0032520294189453125,0.985300295692966,0.0032986870437601164,26.0
"N=5, G=5, K=3",0.9837397933006287,0.9999999403953552,0.9837397933006287,0.9837397933006287,0.9756097197532654,0.983739837398374,1.0,0.983739837398374,0.9836215359057615,0.9753359007274283,0.9853658080101013,0.007965812704935682,0.9852874222859876,0.008038133361942788,26.0
"N=9, G=10, K=3",0.9999999403953552,0.9837397933006287,0.9837397933006287,0.9918698668479919,0.9674796462059021,1.0,0.9838451366441375,0.983739837398374,0.9918411794584403,0.9676902732882751,0.9853658080101013,0.01078576138983909,0.9854232853578454,0.010709381325731274,26.0
"N=5, G=50, K=3",0.9918698668479919,0.9918698668479919,0.9756097197532654,0.9918698668479919,0.9674796462059021,0.9918411794584403,0.9918970333491707,0.9755235383753208,0.9918970333491707,0.9676902732882751,0.9837397933006287,0.010283819981741117,0.9837698115640755,0.010235262773773228,36.0
"N=2, G=5, K=3",0.9674796462059021,0.9918698668479919,0.9837397933006287,0.9837397933006287,0.9918698668479919,0.967243071811523,0.9918411794584403,0.983739837398374,0.983739837398374,0.9918411794584403,0.9837397933006287,0.00890604935213383,0.9836810211050304,0.00898208733417902,36.0
