params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_f1_score,split1_f1_score,split2_f1_score,split3_f1_score,split4_f1_score,mean_test_score,std_test_score,mean_f1_score,std_f1_score,rank_test_score
"N=8, G=10, K=3",0.9416667222976685,0.9333333969116211,0.9416667222976685,0.8916667103767395,0.9083333611488342,0.9414814814814816,0.9332019149535342,0.9417116044540935,0.8913227513227514,0.9084039498564326,0.9233333826065063,0.020000008742016538,0.9232243404136586,0.0200599575680694,21.0
"N=8, G=20, K=3",0.9333333969116211,0.9416667222976685,0.9500000476837158,0.9083333611488342,0.8833333849906921,0.9328218243819266,0.9414814814814816,0.95006993006993,0.9070921985815603,0.8824381926683718,0.9233333826065063,0.024381235037093052,0.922780725436654,0.024774553312770932,21.0
"N=9, G=5, K=3",0.9250000715255737,0.9333333969116211,0.9416667222976685,0.9083333611488342,0.9083333611488342,0.9245482247891715,0.9332019149535342,0.9416133792424987,0.9077811636312098,0.9077811636312098,0.9233333826065063,0.013333347439770927,0.9229851692495247,0.013536312766970609,21.0
"N=6, G=5, K=5",0.9500000476837158,0.9333333969116211,0.9583333730697632,0.8916667103767395,0.8833333849906921,0.949616368286445,0.9332019149535342,0.9582010582010582,0.8910141024732477,0.8828054298642535,0.9233333826065063,0.030459443803993732,0.9229677747557078,0.030627832259598784,21.0
"N=7, G=20, K=3",0.9416667222976685,0.9416667222976685,0.9083333611488342,0.9083333611488342,0.9166666865348816,0.9413152859471334,0.9414814814814816,0.9074649191537859,0.9070921985815603,0.9165023936919178,0.9233333706855774,0.015275266363864391,0.9227712557711758,0.015577990936357984,26.0
"N=2, G=10, K=5",0.9416667222976685,0.9250000715255737,0.9166666865348816,0.8916667103767395,0.9333333969116211,0.9413152859471334,0.9249314875974984,0.9166666666666666,0.891750122557602,0.9332019149535342,0.9216667175292969,0.017159391518978388,0.9215730955444869,0.017027889370288325,27.0
"N=9, G=20, K=3",0.9416667222976685,0.9250000715255737,0.9333333969116211,0.8916667103767395,0.9166666865348816,0.9413152859471334,0.9245482247891715,0.9332019149535342,0.8901998710509349,0.9165023936919178,0.9216667175292969,0.017159391518978388,0.9211535380865383,0.01756670718639677,27.0
"N=9, G=20, K=5",0.9500000476837158,0.9166666865348816,0.9416667222976685,0.9083333611488342,0.8916667103767395,0.9497737556561087,0.916289592760181,0.9416133792424987,0.908042328042328,0.8910141024732477,0.9216667056083679,0.021473504231217185,0.9213466316348727,0.02164016127626369,29.0
"N=6, G=10, K=5",0.9416667222976685,0.9250000715255737,0.9500000476837158,0.8916667103767395,0.8916667103767395,0.9414814814814816,0.925057777155263,0.9497737556561087,0.8913227513227514,0.8913227513227514,0.9200000524520874,0.024494901645639347,0.9197917033876711,0.02456853242772622,30.0
"N=7, G=3, K=3",0.9333333969116211,0.9166666865348816,0.9250000715255737,0.9250000715255737,0.9000000357627869,0.9328218243819266,0.9166666666666666,0.9245482247891715,0.9247619047619047,0.8998028724303013,0.9200000524520874,0.011303897132027708,0.9197202986059942,0.01119290109849991,30.0
"N=6, G=5, K=3",0.9333333969116211,0.9333333969116211,0.9166666865348816,0.9000000357627869,0.9166666865348816,0.9330316742081448,0.9332019149535342,0.9165023936919178,0.8988571428571428,0.916289592760181,0.9200000405311585,0.012472204882864326,0.9195765436941843,0.01277684855375383,32.0
"N=5, G=20, K=5",0.9500000476837158,0.9250000715255737,0.9083333611488342,0.9083333611488342,0.9083333611488342,0.9497737556561087,0.9242894793076429,0.908249595952498,0.9074649191537859,0.908042328042328,0.9200000405311585,0.01632994159529332,0.9195640156224727,0.01638360102334704,32.0
