params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split0_f1_score,split1_f1_score,split2_f1_score,split3_f1_score,split4_f1_score,mean_test_score,std_test_score,mean_f1_score,std_f1_score,rank_test_score
"N=6, G=10, K=5",0.9049999713897705,0.8499999642372131,0.85999995470047,0.9049999713897705,0.8650000095367432,0.9050921763869133,0.8505396302726399,0.8602146136992214,0.9056016399694888,0.8646960942263614,0.8769999742507935,0.023366643054357282,0.877228830910925,0.02341046271148982,30.0
"N=4, G=5, K=5",0.9199999570846558,0.85999995470047,0.85999995470047,0.875,0.8549999594688416,0.9194524013125188,0.8612067093369512,0.859392404996019,0.8748978612207798,0.8552088434649917,0.8739999651908874,0.02395829763880382,0.8740316440662521,0.023651129422605447,31.0
"N=7, G=5, K=5",0.8899999856948853,0.8149999976158142,0.8849999904632568,0.8949999809265137,0.8799999952316284,0.8894687277467689,0.8151019064170569,0.8847105872191525,0.8953038373424971,0.879688590427682,0.8729999899864197,0.02942787336971328,0.8728547298306314,0.02933475403732955,32.0
"N=9, G=10, K=3",0.875,0.824999988079071,0.8700000047683716,0.9549999833106995,0.8399999737739563,0.8750183297077462,0.8245027472527472,0.8701061011898291,0.9549837466332312,0.8400578227877393,0.8729999899864197,0.04501110998336561,0.8729337495142586,0.045101954802503015,32.0
"N=4, G=20, K=3",0.9149999618530273,0.8549999594688416,0.8549999594688416,0.8949999809265137,0.8449999690055847,0.9146928142982271,0.855147028216335,0.8555751415934576,0.8951691316718687,0.8459523243378979,0.8729999661445618,0.027129322182287918,0.8733072880235573,0.02677020763558869,34.0
"N=9, G=10, K=5",0.8949999809265137,0.8449999690055847,0.8549999594688416,0.9249999523162842,0.8349999785423279,0.8952983063409509,0.8445462713387242,0.8548995150028518,0.9248092756644085,0.835031521215249,0.8709999680519104,0.03382306428545765,0.8709169779124369,0.03387792265930355,35.0
"N=6, G=20, K=3",0.8849999904632568,0.824999988079071,0.8499999642372131,0.9099999666213989,0.8799999952316284,0.8848980145446762,0.8258375853168005,0.8505977209378587,0.9099634183848493,0.8794645602300064,0.8699999809265136,0.02949576054838423,0.8701522598828383,0.0291041403749356,36.0
"N=4, G=5, K=3",0.8999999761581421,0.8149999976158142,0.8899999856948853,0.9149999618530273,0.8299999833106995,0.8991913686885746,0.8150071198131049,0.8894037759136008,0.9146442207772929,0.8295720814824589,0.8699999809265136,0.03987479444827665,0.8695637133350065,0.03969743243855977,36.0
"N=4, G=20, K=5",0.8650000095367432,0.8499999642372131,0.8449999690055847,0.9350000023841858,0.8449999690055847,0.8647094346691472,0.8497231606606606,0.8452832937780567,0.9346039800298618,0.8445093433552563,0.8679999828338623,0.03429286923314756,0.8677658424985966,0.03420101277666749,38.0
"N=9, G=5, K=3",0.9149999618530273,0.8299999833106995,0.8949999809265137,0.9099999666213989,0.7899999618530273,0.91496695391483,0.8295946249626265,0.8949866225109818,0.9096351909955674,0.7896509971509971,0.8679999709129333,0.04945705167057339,0.8677668779070006,0.04955992137497503,39.0
"N=8, G=3, K=5",0.9149999618530273,0.8149999976158142,0.8549999594688416,0.9049999713897705,0.8499999642372131,0.914074666493577,0.8156711728865195,0.8552211393050914,0.9052350476151634,0.8496103047330789,0.8679999709129333,0.03709446560074076,0.867962466206686,0.03673990457040483,39.0
"N=6, G=20, K=5",0.85999995470047,0.8449999690055847,0.85999995470047,0.9300000071525574,0.8449999690055847,0.8601785714285713,0.8449188034188034,0.8601435022435624,0.9301262626262627,0.8445256956365101,0.8679999709129333,0.031717519411171256,0.867978567070742,0.03183191516047867,39.0
"N=8, G=20, K=3",0.8700000047683716,0.8549999594688416,0.8700000047683716,0.875,0.8549999594688416,0.8700756288974341,0.8549864626413012,0.8706476836348743,0.8748407488088489,0.8544099662230815,0.8649999856948852,0.008366620782802066,0.864992098041108,0.008566424106808105,42.0
"N=7, G=3, K=3",0.8549999594688416,0.7999999523162842,0.8999999761581421,0.8999999761581421,0.8650000095367432,0.8567409012991061,0.7991369720965309,0.9000970275181724,0.9000713557594292,0.8646139246718195,0.8639999747276306,0.03679674827732574,0.8641320362690117,0.037052219205730534,43.0
"N=3, G=3, K=3",0.8899999856948853,0.7749999761581421,0.8700000047683716,0.9149999618530273,0.8549999594688416,0.8905383895131087,0.7756716806116899,0.8697350797579757,0.9149980221717792,0.855293496355431,0.8609999775886535,0.04747630929934599,0.8612473336819969,0.047281676949105705,44.0
"N=5, G=10, K=5",0.8399999737739563,0.8499999642372131,0.9149999618530273,0.8650000095367432,0.8299999833106995,0.8388466335190126,0.8501351438953921,0.9148092756644085,0.8650271871085846,0.8291479102539011,0.8599999785423279,0.02983286330494425,0.8595932300882598,0.03008366248122485,45.0
"N=6, G=3, K=5",0.85999995470047,0.8100000023841858,0.85999995470047,0.8999999761581421,0.8650000095367432,0.8599550900614072,0.8097993559799561,0.8605621410422658,0.9002214316057774,0.8646472510386382,0.8589999794960022,0.028705392331626157,0.859037053945609,0.02882758004618899,46.0
"N=5, G=20, K=3",0.875,0.8050000071525574,0.8700000047683716,0.8949999809265137,0.8399999737739563,0.8755196784396431,0.8047260990618738,0.8697362295500972,0.8939758089383585,0.8391126740743069,0.8569999933242798,0.0314006331853774,0.8566140980128558,0.03138207458294987,47.0
"N=7, G=50, K=3",0.8349999785423279,0.8100000023841858,0.8650000095367432,0.8849999904632568,0.8899999856948853,0.8347593730753023,0.8099163458149633,0.8651030690075633,0.885520486345729,0.8901310788295324,0.8569999933242798,0.030430246119338037,0.8570860706146182,0.03062099015320419,47.0
"N=6, G=3, K=3",0.8700000047683716,0.7899999618530273,0.8799999952316284,0.8949999809265137,0.8449999690055847,0.8704847381593583,0.7895182675290283,0.88008664576734,0.8950967028261491,0.8440302679776363,0.8559999823570251,0.036796750221125316,0.8558433244519025,0.03709851430080426,49.0
"N=3, G=10, K=5",0.8299999833106995,0.8349999785423279,0.875,0.8650000095367432,0.85999995470047,0.8297252093065243,0.8345223665223664,0.8753078524158543,0.8649313570081805,0.8599977741010696,0.8529999852180481,0.017492862172178835,0.852896911870799,0.017731621960671008,50.0
"N=5, G=10, K=3",0.824999988079071,0.8449999690055847,0.875,0.875,0.8349999785423279,0.8252533567774936,0.8443579177263387,0.8738565119991512,0.8750965717044906,0.8334280956013221,0.8509999871253967,0.020591268433331304,0.8503984907617592,0.020576853793580544,51.0
"N=5, G=20, K=5",0.8700000047683716,0.7749999761581421,0.8700000047683716,0.9149999618530273,0.824999988079071,0.8704282567149616,0.7756361829347567,0.869815332267493,0.915007257009793,0.8245354421129554,0.8509999871253967,0.04747630929934599,0.851084494207992,0.047346477984493394,51.0
"N=7, G=50, K=5",0.8100000023841858,0.8199999928474426,0.8549999594688416,0.8799999952316284,0.8700000047683716,0.8098242491657398,0.8192891644236887,0.854279483088984,0.8798700035303031,0.8705902372844458,0.846999990940094,0.02749545222739105,0.8467706274986323,0.027711337394531646,53.0
"N=8, G=50, K=3",0.8549999594688416,0.8499999642372131,0.8399999737739563,0.8700000047683716,0.8199999928474426,0.8545960479117198,0.8498589400811324,0.8403098943161169,0.8702822830684134,0.8195173143516737,0.846999979019165,0.016613248385996215,0.8469128959458112,0.016780678031994647,54.0
"N=9, G=50, K=5",0.85999995470047,0.8149999976158142,0.8299999833106995,0.8899999856948853,0.8299999833106995,0.8593124166601303,0.8150639895498767,0.8302584455494925,0.8901293283270755,0.828844463505041,0.8449999809265136,0.026832810132239045,0.8447217287183232,0.02689086789265918,55.0
"N=4, G=10, K=5",0.8799999952316284,0.7849999666213989,0.875,0.85999995470047,0.8149999976158142,0.879501947506839,0.784977740942458,0.8747107493820462,0.8593472302929247,0.8155819618995838,0.8429999828338623,0.03695944294058105,0.8428239260047704,0.03666980252352144,56.0
"N=3, G=10, K=3",0.8549999594688416,0.8199999928474426,0.8299999833106995,0.8549999594688416,0.8399999737739563,0.8542976223548479,0.8206882226587833,0.8298518067042633,0.8555209486886617,0.8401324375772059,0.8399999737739563,0.01378403560659695,0.8400982075967522,0.013573663768443935,57.0
"N=2, G=3, K=3",0.8949999809265137,0.8149999976158142,0.8199999928474426,0.8349999785423279,0.824999988079071,0.8949922360248448,0.8152313217015128,0.8201452106145802,0.8347309471182953,0.8253166164767479,0.8379999876022339,0.029257472999141984,0.8380832663871962,0.029178215985403964,58.0
"N=4, G=50, K=3",0.8449999690055847,0.8100000023841858,0.8449999690055847,0.8700000047683716,0.8199999928474426,0.8439872325741891,0.8104602781402839,0.8444867325335216,0.8698085857298404,0.8197454830459533,0.8379999876022339,0.021118710004690375,0.8376976624047577,0.020885006144217948,58.0
"N=9, G=50, K=3",0.8449999690055847,0.7949999570846558,0.8549999594688416,0.8999999761581421,0.7949999570846558,0.8457078301626688,0.7953324965281486,0.8543563847467978,0.8999633370595123,0.7928366807610994,0.837999963760376,0.03969887306478086,0.8376393458516453,0.04006491734042197,60.0
"N=6, G=50, K=5",0.8449999690055847,0.8050000071525574,0.8650000095367432,0.8299999833106995,0.8349999785423279,0.8448297582060489,0.8056944694669648,0.8646658365863509,0.8293957149100423,0.835323363824066,0.8359999895095825,0.01959591689593173,0.8359818285986945,0.019298667130795765,61.0
"N=8, G=50, K=5",0.8199999928474426,0.8299999833106995,0.8499999642372131,0.8849999904632568,0.7799999713897705,0.8195924846854923,0.8292926184926185,0.8496486904845558,0.8848568106869292,0.7776632667149909,0.8329999804496765,0.03458323614421064,0.8322107742129173,0.03526713347569334,62.0
"N=5, G=50, K=5",0.8199999928474426,0.7799999713897705,0.85999995470047,0.8999999761581421,0.8050000071525574,0.8194468257756117,0.7810605876970326,0.8599340117885547,0.8998609612433998,0.8058062979213757,0.8329999804496765,0.042379233539849806,0.833221736885195,0.041991598702267506,62.0
