Dataset,Classifier,Accuracy,F1 Score
Wafer,FCN,0.9969175859831279,0.996904192460821
Wafer,MLP,0.9936729396495781,0.9936916121747558
Wafer,CNN,0.9615509409474368,0.9580603066673591
